created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 13 10:07:07 +0000 2023;1724005965731635411;"Didn’t you resign from his cabinet over his stance on Israeli slaughter in Gaza in 2014? He is now coming in as Foreign Secretary while Israel is carrying out genocide in Gaza and you expect ‘balanced, thoughtful, compassionate leadership’ from him?";1;4;97;234;en;79917172;1724005965731635411;fahadansari;https://twitter.com/fahadansari/status/1724005965731635411
Mon Nov 13 10:06:50 +0000 2023;1724005895435104493;"@SayeedaWarsi @David_Cameron Didn’t you resign from his cabinet over his stance on Israeli slaughter in Gaza in 2014? He is now coming in as Foreign Secretary while Israel is carrying out genocide in Gaza and you expect ‘balanced, thoughtful, compassionate leadership’ from him?";2;3;40;175;en;79917172;1724005022210441239;fahadansari;https://twitter.com/fahadansari/status/1724005895435104493
Mon Nov 13 10:05:21 +0000 2023;1724005520149811445;"Even pro-Israel mainstream media have difficulties defending Israeli lies.. No one can defend apartheid genocide. #GazaGenocide  https://t.co/0ueGLOjGHy";2;42;102;208;en;1289954977;1724005520149811445;ShehabiFares;https://twitter.com/ShehabiFares/status/1724005520149811445
Mon Nov 13 10:01:27 +0000 2023;1724004540196823497;"BREAKING:   Suella Braverman has been sacked as UK Home Secretary.  She was a huge supporter for the genocide in Gaza. https://t.co/O6JBtnzKQG";72;225;676;2717;en;1225234593789423616;1724004540196823497;Megatron_ron;https://twitter.com/Megatron_ron/status/1724004540196823497
Mon Nov 13 09:58:33 +0000 2023;1724003810392105271;"No personal grudge Owen, I just objected to you claiming that all of the media (including us at @GMB) and all sides of politics are facilitating genocide against the Palestinians - felt like the worst kind of second rate Trumpian populism to me...";119;1361;218;3979;en;16708655;1724003810392105271;edballs;https://twitter.com/edballs/status/1724003810392105271
Mon Nov 13 09:57:38 +0000 2023;1724003579667652618;"At the end of this genocide you will drown yourself, this is a fact not a warning :) #powerful_oppressed https://t.co/VUSsmqT5qg";7;126;274;579;en;1575515419913469953;1724003579667652618;zohrebano2000;https://twitter.com/zohrebano2000/status/1724003579667652618
Mon Nov 13 09:55:42 +0000 2023;1724003093975613578;"Politicians are taking bribes in broad daylight from fascist entities, so instead of punching sideways at your own socioeconomic peers for being anti-genocide, I recommend that the entire working class get acquainted with our collective power and apply pressure together.";4;7;166;528;en;886398296146706432;1724003093975613578;davenewworld_2;https://twitter.com/davenewworld_2/status/1724003093975613578
Mon Nov 13 09:55:13 +0000 2023;1724002971225370635;"This Palestinian🇵🇸 child is suffering from Israeli🇮🇱 terrorism, can't the Arabs hear his cry? #Gaza #GazaHolocaust #Gaza_Genocide #FreePalestine https://t.co/Xnx8MHgfzy";13;14;271;248;en;1202891771912413184;1724002971225370635;TheMuslim786;https://twitter.com/TheMuslim786/status/1724002971225370635
Mon Nov 13 09:46:34 +0000 2023;1724000793030689230;"UK Home Secretary Suella Braverman SACKED.   Protests work.   Calling out “leaders” who justify genocide and wage culture wars works.  Keep pushing.  @SuellaBraverman, Britain’s hardline Home Secretary, has been fired from her post by Prime Minister Rishi Sunak after making… https://t.co/TBJTuZvWbJ";17;29;220;662;en;6392972;1724000793030689230;ASE;https://twitter.com/ASE/status/1724000793030689230
Mon Nov 13 09:44:16 +0000 2023;1724000214573322374;"Palestinian bodies piling up on the street: the yield of the israeli genocide — a hunter’s bounty paid for by the west #LestWeForget https://t.co/aHqIhd9lCj";34;31;451;428;en;4249826728;1724000214573322374;swilkinsonbc;https://twitter.com/swilkinsonbc/status/1724000214573322374
Mon Nov 13 09:41:55 +0000 2023;1723999625810419848;"Only good news I’ve heard in the last month. Let’s keep going team! Let’s keep standing against genocide. She got what she deserved. Braverman has been officially sacked as Home Secretary of the UK! https://t.co/gJP6iiPifW";2;4;301;763;en;815606642205224960;1723999625810419848;yaraeid_;https://twitter.com/yaraeid_/status/1723999625810419848
Mon Nov 13 09:41:00 +0000 2023;1723999391789318209;"if your response to witnessing genocide in all its horror is to start doing election fantasy football for the democrats i’m pretty sure you simply don’t have a soul";0;4;79;600;en;19612916;1723999391789318209;headfallsoff;https://twitter.com/headfallsoff/status/1723999391789318209
Mon Nov 13 09:40:41 +0000 2023;1723999315805319527;"Both of this Palestinian child’s parents have been murdered by Israel bombs.   He says he wish he was killed with his parents.   This is the genocide supported by @RishiSunak @Keir_Starmer and @JoeBiden https://t.co/ldDgF3QGLO";11;6;185;238;en;2870848881;1723999315805319527;Rachael_Swindon;https://twitter.com/Rachael_Swindon/status/1723999315805319527
