"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Wed Dec 06 04:50:04 +0000 2023","1732261099972841925","Erigo Road to 12.12 Rp12.000 ⏰ 12:00 wib  https://t.co/3tFFFgn1c7 https://t.co/Hl6alRP5P6","0","1","0","0","in","1377624159883264008","1732261099972841925","PromoSeekerTeam","https://twitter.com/PromoSeekerTeam/status/1732261099972841925","https://pbs.twimg.com/media/GAo6RYJacAA6Tf8.jpg","Indonesia"
"Tue Dec 12 12:54:41 +0000 2023","1734557385379713169","pdhl nyuruh nya buat atmin erigo yg upload foto km  tp ternyata dikasi sendiri hehehe https://t.co/RoGSqvntGx","0","0","0","4","in","1305467597555556354","1734557385379713169","_yeszzzz","https://twitter.com/_yeszzzz/status/1734557385379713169","https://pbs.twimg.com/media/GBJivkPbUAAKAGK.jpg","Indonesia "
"Fri Dec 08 11:13:12 +0000 2023","1733082293810647073","Info loker erigo  mau ditarek2 gitu sama ci gre😁 https://t.co/H2afGDg4Qd","0","1","0","0","in","1538911294669332480","1733082293810647073","najinajijan","https://twitter.com/najinajijan/status/1733082293810647073","https://pbs.twimg.com/ext_tw_video_thumb/1733082223920971776/pu/img/UjKxQOy0bKUIW9_l.jpg",""
"Mon Dec 11 05:14:51 +0000 2023","1734079276205634021","semakin mahal adik adikku jadi brand ambassador brand yang gak mungkin aku miliki.  kenapa sih gak jadi brand ambassador Erigo atau Cubitus kayak masih bisa aku beli gitu https://t.co/h8GfG2AkcG","0","1","3","14","in","45708234","1734079276205634021","ronisnowhere","https://twitter.com/ronisnowhere/status/1734079276205634021","https://pbs.twimg.com/media/GBCvyE3akAAjtrp.jpg","Hurricane Venus"
"Tue Dec 12 09:15:02 +0000 2023","1734502106219127086","Tanya ada yg dapet ini ga? Harga segini worth it ga? Ukuran S nya erigo kecil atau agak besar? https://t.co/v3GzNxU1Qx","0","2","0","2","in","1251407687650177025","1734502106219127086","discountfess","https://twitter.com/discountfess/status/1734502106219127086","https://pbs.twimg.com/media/GBIoWacboAAxqTt.jpg","Join Channel Tele 👇🏻"
"Mon Dec 11 16:27:48 +0000 2023","1734248629437972677","https://t.co/84k9cL6CEx erigo promo besar besaran guyss @erigostore #BesokShopee1212 https://t.co/4feONRMMnN","0","0","0","0","in","1325479006607601664","1734248629437972677","kooky_JK97","https://twitter.com/kooky_JK97/status/1734248629437972677","https://pbs.twimg.com/media/GBFJ7mkacAAlK0D.jpg","Cikarang, Indonesia"
"Tue Dec 12 10:23:25 +0000 2023","1734519317172306327","woy buruan nonton live erigo di shopee live ni bocahnya dah keluar niihh https://t.co/PizbTxuL3N","0","0","0","4","in","1705211253072056320","1734519317172306327","MetamorFloraYK","https://twitter.com/MetamorFloraYK/status/1734519317172306327","https://pbs.twimg.com/media/GBJAH1VagAAAxgO.jpg","Yogyakarta, Indonesia"
"Fri Dec 08 15:16:06 +0000 2023","1733143420615495818","Akhirnyaa cigre bkin sg yg lumayan bnyakk😭😭 trmksh erigo dan sts christy","0","0","1","2","in","1520451481505497090","1733143420615495818","kadeknop1k","https://twitter.com/kadeknop1k/status/1733143420615495818","","Badung, Bali (cewe)"
"Mon Dec 11 23:43:18 +0000 2023","1734358227658396071","Ada yang mau harga 80k ngga? Masih baruuu #zonauang #erigo #jaketerigo https://t.co/v1edUvLHpk","0","0","0","0","in","1691697545905688576","1734358227658396071","Kinanti0905","https://twitter.com/Kinanti0905/status/1734358227658396071","https://pbs.twimg.com/media/GBGtnd8aoAAitsO.jpg",""
"Tue Dec 12 16:27:42 +0000 2023","1734610991881900515","WTS T-SHIRT ERIGO X JKT48 170K/PCS (READY ADEL  MARSHA  SHANI  GITA  FREYA) SIAP KIRIM ATAU COD FX  COD DI ANNIV SURABAYA JUGA BISA 👌 https://t.co/fpXt361MsH","1","3","6","5","in","100181818","1734610991881900515","ogahjah","https://twitter.com/ogahjah/status/1734610991881900515","https://pbs.twimg.com/media/GBKTdH2a8AANmTU.jpg","Jakarta"
"Sun Dec 10 10:27:41 +0000 2023","1733795615489016305","bjir baru tanggal 10 gua dh mengeluarkan uang banyak bgt cm buat erigo x jeketipatlapan","0","1","0","0","in","1695637567780343808","1733795615489016305","Essemntials","https://twitter.com/Essemntials/status/1733795615489016305","","Shania Gracia Harlan"
"Fri Dec 08 09:28:13 +0000 2023","1733055873331888404","Woiii ini lh yg diri ku tunggu  tpiii syng bgt gue msih ada kegiatan 🥲 semoga live nya msih lama ya @N_ShaniJKT48 @S_GraciaJKT48 @erigostore  #Greshan #erigo https://t.co/QAThFuDZNZ","0","0","0","2","in","1541943280182493184","1733055873331888404","LiShani310_","https://twitter.com/LiShani310_/status/1733055873331888404","https://pbs.twimg.com/media/GA0NIMGbcAA_Z-Q.jpg","Indonesia "
"Tue Dec 12 11:44:24 +0000 2023","1734539694652743826","buat temen nonton Atin live Erigo https://t.co/EhN4CfnGMn","0","0","0","1","in","1494328558969561089","1734539694652743826","kathydira","https://twitter.com/kathydira/status/1734539694652743826","https://pbs.twimg.com/media/GBJSqFJaYAAXTe8.jpg","Malang"
"Wed Dec 13 12:24:27 +0000 2023","1734912164786561461","erigo tai lah brg gw ga dikirim2","0","0","0","0","in","606096832","1734912164786561461","Frychndr","https://twitter.com/Frychndr/status/1734912164786561461","",""
"Mon Dec 11 14:57:29 +0000 2023","1734225898277327191","eh anjg stoplah dengan segala promo diskon ini erigo buset dah","0","0","0","0","in","1596475380545617920","1734225898277327191","meneroboz","https://twitter.com/meneroboz/status/1734225898277327191","",""
"Tue Dec 12 05:11:12 +0000 2023","1734440743891280184","selamat siang cintaa @S_AshelJKT48  semangat buat kegiatannya hari ini dan nanti sore live erigo bareng flora nya 🥰❤ https://t.co/FHqEJ3O8C8","0","0","2","6","in","1589619793782767620","1734440743891280184","ashblueee_","https://twitter.com/ashblueee_/status/1734440743891280184","https://pbs.twimg.com/ext_tw_video_thumb/1734440698563428352/pu/img/WmOTDMRDKyBmwymw.jpg","morning dew 🩵"
"Tue Dec 12 12:15:41 +0000 2023","1734547569634918893","Damn mba mba erigo yang mirip ara muncul","0","0","0","1","in","489555355","1734547569634918893","sndyanugrah","https://twitter.com/sndyanugrah/status/1734547569634918893","","Indonesia"
"Fri Dec 08 22:35:00 +0000 2023","1733253872704229479","ini sangat lucuu🥹 @S_GraciaJKT48 @N_ShaniJKT48 #erigo https://t.co/5fWATQ8dqx","0","0","0","0","in","1568486863287259139","1733253872704229479","yourscci_","https://twitter.com/yourscci_/status/1733253872704229479","https://pbs.twimg.com/media/GA3BNk7aEAA4uhW.jpg",""
"Tue Dec 12 05:11:32 +0000 2023","1734440830134612102","WOEEE TADI RENDI NGAMPUS PAKE KAOS ERIGO INDAH  DAN KATANYA DIA BELI UNDER 100K. TRUS SEKARANG GUA FOMO DAN MAU KE TC JUGA 😵😵😵😵😅😅😅😅","0","1","0","0","in","1459126438947287045","1734440830134612102","yifeiraa","https://twitter.com/yifeiraa/status/1734440830134612102","","Soleil ✧"
"Wed Dec 13 11:03:19 +0000 2023","1734891745123672572","Masih ada Erigo Serba 50rb  Tambah diskon "Beli Lokal" 30% maks 30rb  https://t.co/7Jovvo5hy4 https://t.co/wdxHTtcGET","0","1","0","2","in","1305090402626617344","1734891745123672572","xkode06","https://twitter.com/xkode06/status/1734891745123672572","https://pbs.twimg.com/media/GBOS2A5bQAA9Sjf.jpg",""
"Tue Dec 12 17:27:46 +0000 2023","1734626107691798845","Mkasii live erigo nya  esokk" lebih rusuh lagi yaa😂 https://t.co/bXSjMhDJlt","0","0","0","0","in","1397515743365763074","1734626107691798845","_cherrysprite_","https://twitter.com/_cherrysprite_/status/1734626107691798845","https://pbs.twimg.com/ext_tw_video_thumb/1734626066764042240/pu/img/CCVZLqvnInmQS-5L.jpg","himalaya "
"Tue Dec 12 14:16:57 +0000 2023","1734578087961244057","Kayanya semua erigo punya ku grgr live @R_AdelJKT48 deh https://t.co/BwAXcPdAGG","0","0","0","2","in","865478487053697024","1734578087961244057","NChaeng423","https://twitter.com/NChaeng423/status/1734578087961244057","https://pbs.twimg.com/media/GBJ1k0JbIAEKO1a.jpg",""
"Sat Dec 09 01:39:22 +0000 2023","1733300271508509092","kak zee 😍 @A_ZeeJKT48 btw tenkyu erigo https://t.co/3LvRhuZ2nL","0","0","0","0","in","1410773879824420865","1733300271508509092","lenantheajubu","https://twitter.com/lenantheajubu/status/1733300271508509092","https://pbs.twimg.com/media/GA3raNzaAAASJXc.jpg","hatimu"
"Tue Dec 12 14:17:52 +0000 2023","1734578319486771277","Makasih live erigo nya @R_AdelJKT48 @I_KathrinaJKT48","0","0","0","4","in","1488767055947989001","1734578319486771277","cutton22","https://twitter.com/cutton22/status/1734578319486771277","",""
"Tue Dec 12 08:48:49 +0000 2023","1734495507538702699","mau nntn live erigo  tapi mau nntn yg di shopee  gmn cerita ini kepisah sii","0","0","0","1","in","1011521265612435456","1734495507538702699","lennn_10","https://twitter.com/lennn_10/status/1734495507538702699","","DKI Jakarta, Indonesia"
"Tue Dec 12 15:27:57 +0000 2023","1734595955889156129","Sumpil gue baru co baju erigo asl 2 hari lalu  terus pas gua liat hari ini ternyata bajunya diskon🙂","0","1","0","0","in","1256919781573193728","1734595955889156129","agataubodoamat","https://twitter.com/agataubodoamat/status/1734595955889156129","",""
